City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
297,Iracoubo,GF,77.61,scattered clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
300,Lethem,GY,72.75,overcast clouds,3.3803,-59.7968,Savannah Inn
301,Bima,ID,77.94,scattered clouds,-8.4667,118.7167,Lambitu Hotel
302,Nanning,CN,82.85,broken clouds,22.8167,108.3167,Nanning Travelling With Hostel
303,Cairns,AU,79.07,broken clouds,-16.9167,145.7667,Mantra Trilogy Cairns
304,Gandu,BR,67.32,clear sky,-13.7439,-39.4867,Pousada Duarte
305,Bonneville,FR,67.84,clear sky,46.0802,6.4073,Hotel Bellevue
306,Bandar-E Lengeh,IR,87.91,overcast clouds,26.5579,54.8807,کافی نت پارس
307,Innisfail,AU,70.77,overcast clouds,-17.5333,146.0333,Moondarra Motel
308,Nyurba,RU,69.26,broken clouds,63.2842,118.3319,"Гостиница ""Comfort"""
310,Salalah,OM,75.29,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
315,Numan,NG,72.75,overcast clouds,9.4667,12.0333,Zangun Motel
318,Vaitape,PF,78.93,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
319,Waw,SS,68.61,overcast clouds,7.7029,27.9953,Universal Gab Hotel
320,Caiaponia,BR,71.98,scattered clouds,-16.9567,-51.8103,HOTEL PALACE AVENIDA & CAIAPÓ TURISMO
323,Caravelas,BR,72.7,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
324,Eyl,SO,75.36,overcast clouds,7.9803,49.8164,Amiin Hotel
325,Jalingo,NG,71.38,overcast clouds,8.8833,11.3667,Debright Motel
326,Mao,ES,73.96,clear sky,39.8885,4.2658,ARTIEM Capri
329,Norman Wells,CA,68.04,scattered clouds,65.282,-126.8329,Heritage Hotel
330,Redcliffe,AU,65.26,broken clouds,-27.2307,153.0973,Scarborough Beach Resort
331,Victoria Point,AU,66.81,overcast clouds,-27.5833,153.3,Bay Retreat Motel
332,Raha,IN,77.59,overcast clouds,26.2333,92.5167,"Greedy, Brainless Rent House ( অহংকাৰী, প‌ইচাখকুৱা ভাড়াঘৰ)"
333,Manggar,ID,80.33,overcast clouds,-2.8833,108.2667,Guest Hotel
337,Tautira,PF,77.58,light rain,-17.7333,-149.15,Pension Oaoa
338,Jalu,LY,81.57,clear sky,29.0331,21.5482,صاحبة الفخامة
340,Zhigansk,RU,69.49,light rain,66.7697,123.3711,Gostinichnyy Kompleks Aylgy
341,Whitecourt,CA,76.24,few clouds,54.1502,-115.6855,Super 8 by Wyndham Whitecourt
342,Cascina,IT,75.99,clear sky,43.6791,10.4994,Euro Hotel
343,Shingu,JP,85.75,overcast clouds,33.7333,135.9833,Shingu UI Hotel
345,Pringsewu,ID,74.03,overcast clouds,-5.3582,104.9744,Urban Style by Front One
349,Songjianghe,CN,68.99,light rain,42.1859,127.479,Sijisheng Fashion Guest House
351,Komsomolskiy,UZ,79.52,overcast clouds,40.4272,71.7189,Ikathouse
353,Kijang,KR,83.93,overcast clouds,35.2442,129.2139,Samyang Beach Villa
354,Datia,IN,82.58,overcast clouds,25.6667,78.4667,Motel Hotel Resort
355,Lagoa,PT,72.86,clear sky,39.05,-27.9833,Casa Das Faias
357,Matay,EG,81.01,clear sky,28.419,30.7792,Nag Aespen
361,Castilho,BR,67.6,clear sky,-20.8722,-51.4875,D S Oliveira Hotel
365,Cayenne,GF,79.09,scattered clouds,4.9333,-52.3333,Hôtel Le Dronmi
366,Solano,US,91.53,clear sky,38.2333,-121.9511,Westwind Inn
367,Simao,CN,65.7,overcast clouds,22.7886,100.9748,Changyu Hotel
369,Tutrakan,BG,70.63,broken clouds,44.05,26.6167,Family Hotel Palermo
371,Gazanjyk,TM,80.91,clear sky,39.2446,55.5154,Railway motel
373,Pasni,PK,81.05,overcast clouds,25.2631,63.471000000000004,Kashmiri Hotal
374,Manzhouli,CN,66.96,light rain,49.6,117.4333,Angala International Youth Hostel
375,Hamilton,US,79.03,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
376,Kununurra,AU,71.58,few clouds,-15.7667,128.7333,Hotel Kununurra
377,Wana,PK,73.99,broken clouds,32.2989,69.5725,Rest House at Wana Camp
378,College,US,77.0,overcast clouds,64.8569,-147.8028,Pike's Waterfront Lodge
379,Suntar,RU,71.26,scattered clouds,62.1444,117.6319,Гостевая квартира
380,Saint-Philippe,RE,71.11,broken clouds,-21.3585,55.7679,Le four à pain
382,Santander,ES,68.47,clear sky,43.4647,-3.8044,Abba Santander Hotel
383,Burns Lake,CA,85.42,few clouds,54.2331,-125.7533,Burns Lake Bed and Breakfast
384,Lexington-Fayette,US,76.95,clear sky,38.0498,-84.4585,Hilton Lexington/Downtown
385,Yatou,CN,76.03,heavy intensity rain,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
387,Acapulco,MX,84.02,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
388,Port Moresby,PG,85.42,haze,-9.4431,147.1797,Lamana Hotel (Port Moresby)
392,Conceicao Do Araguaia,BR,77.63,clear sky,-8.2578,-49.2647,Tarumã Tropical Hotel
395,Am Timan,TD,72.32,light rain,11.0297,20.2827,Palais du chef Canton Salamt
397,Antequera,ES,75.94,clear sky,37.0194,-4.5612,Convento de la Magdalena
398,Rudsar,IR,76.98,scattered clouds,37.1376,50.288000000000004,Hotel Bahar
401,Carlyle,US,78.22,overcast clouds,38.6103,-89.3726,Mariner's Village at Carlyle Lake
404,Lakki Marwat,PK,88.86,overcast clouds,32.6079,70.9114,Noor Hotel
407,Pedro Ii,BR,69.62,heavy intensity rain,-4.4247,-41.4586,Opala Hotel
409,Wiarton,CA,70.25,scattered clouds,44.7407,-81.1332,Waterview On The Bay
414,Dandong,CN,76.66,broken clouds,40.1292,124.3947,Yiranju Farmstay
416,Fort Nelson,CA,69.39,broken clouds,58.8053,-122.7002,The Fort Nelson Hotel
420,Slave Lake,CA,71.58,overcast clouds,55.2834,-114.76899999999999,Super 8 by Wyndham Slave Lake AB
421,Champerico,GT,79.34,broken clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
422,Silifke,TR,79.93,clear sky,36.3778,33.9344,Ayatekla Hotel
