City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
156,Lorengau,PG,-2.0226,147.2712,83.71,69,89,9.01,overcast clouds
157,Sile,TR,41.1754,29.6133,74.57,79,6,8.95,clear sky
158,Egvekinot,RU,66.3167,-179.1667,52.5,49,98,4.21,overcast clouds
159,East London,ZA,-33.0153,27.9116,58.33,62,99,14.7,overcast clouds
160,Bowen,AU,-20.0167,148.2333,69.71,75,97,20.2,overcast clouds
161,Nisia Floresta,BR,-6.0911,-35.2086,79.18,95,100,6.38,overcast clouds
162,Roros,NO,62.5747,11.3842,46.24,87,40,2.3,scattered clouds
163,Larkana,PK,27.5551,68.2141,87.49,71,100,8.34,light rain
164,Jabinyanah,TN,35.035,10.9081,84.0,56,0,2.01,clear sky
165,Abeche,TD,13.8292,20.8324,80.82,64,100,3.58,light rain
166,Wangqing,CN,43.3218,129.7634,74.05,97,100,2.71,overcast clouds
167,Macenta,GN,8.5435,-9.471,68.4,97,92,1.54,overcast clouds
168,Ilulissat,GL,69.2167,-51.1,51.82,71,100,12.66,overcast clouds
169,Juazeiro,BR,-9.4117,-40.4986,84.38,45,0,8.05,clear sky
170,Meulaboh,ID,4.1363,96.1285,76.57,86,92,3.24,overcast clouds
171,Oranjestad,AW,12.524,-70.027,80.74,85,59,22.7,broken clouds
172,Cidreira,BR,-30.1811,-50.2056,53.98,79,0,5.97,clear sky
173,Upernavik,GL,72.7868,-56.1549,44.15,85,100,4.52,overcast clouds
174,Goderich,CA,43.7501,-81.7165,76.91,56,5,5.75,clear sky
175,Margate,GB,51.3813,1.3862,66.87,85,100,1.99,overcast clouds
176,Yulara,AU,-25.2406,130.9889,60.3,57,94,15.05,overcast clouds
177,Saint-Augustin,CA,51.226,-58.6502,63.36,80,76,10.11,broken clouds
178,Codrington,AU,-38.2667,141.9667,52.3,62,100,19.69,overcast clouds
179,Aktau,KZ,43.65,51.2,73.98,68,35,8.12,scattered clouds
180,Asau,RO,46.4333,26.4,65.32,90,80,4.52,broken clouds
181,Ancud,CL,-41.8697,-73.8203,42.22,85,98,2.93,overcast clouds
182,Ayan,RU,56.45,138.1667,58.28,91,94,6.91,overcast clouds
183,Bethel,US,41.3712,-73.414,80.96,59,0,6.91,clear sky
184,Port Lincoln,AU,-34.7333,135.8667,54.64,73,36,23.42,scattered clouds
185,Boyolangu,ID,-8.1181,111.8935,73.98,90,98,3.6,overcast clouds
186,Makakilo City,US,21.3469,-158.0858,88.12,54,75,21.85,broken clouds
187,Silvan,TR,38.1419,41.0081,62.89,20,0,1.72,clear sky
188,Bambous Virieux,MU,-20.3428,57.7575,70.21,88,75,13.8,light rain
189,Englewood,US,39.6478,-104.9878,92.43,21,20,11.5,few clouds
190,Westport,US,41.1415,-73.3579,82.44,56,0,8.05,clear sky
191,Faanui,PF,-16.4833,-151.75,79.0,71,2,21.9,light rain
192,Praia,CV,14.9215,-23.5087,78.39,80,99,7.61,overcast clouds
193,Uglegorsk,RU,49.0833,142.0333,61.83,99,100,3.24,overcast clouds
194,Neya,RU,58.2972,43.8681,53.76,85,10,4.07,clear sky
195,Ribeira Grande,PT,38.5167,-28.7,74.17,69,16,1.1,few clouds
196,Bluff,NZ,-46.6,168.3333,47.34,75,96,15.21,overcast clouds
